"catalogNumber","Genus","standardGenus","family","standardFamily","authority"
"1469","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1474","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1473","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"1477","Microtus","Microtus","Cricetidae","Muridae","ITIS"
"3781","MYOSPALAX","Myospalax","Spalacidae","Muridae","ITIS"
"5208","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3931","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3119","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3930","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3929","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1733","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5027","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1744","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1745","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1746","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3927","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3124","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3133","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3139","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1600","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3928","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3950","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5034","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"6087","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5295","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3104","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5033","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4652","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"6185","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4669","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5207","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3080","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1732","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3092","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5018","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5002","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"6191","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4653","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3829","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4702","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1819","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1818","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1817","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"6165","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"6166","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1243","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3851","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5422","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1820","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3830","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1822","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3828","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3827","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3810","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3795","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5920","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4919","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3374","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4934","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5245","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3831","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3166","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5298","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3914","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4722","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3160","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1555","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1554","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4743","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3960","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3959","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5057","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3957","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4706","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4755","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4775","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4803","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4828","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5132","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"6152","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4891","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1826","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1825","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3958","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5402","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2526","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2537","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2542","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5397","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2552","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2556","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5398","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5399","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3061","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5401","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2464","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4189","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2589","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4169","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2613","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4160","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2634","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4154","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4153","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5400","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2490","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2377","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5356","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5373","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2213","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2212","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2207","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2206","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5383","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2480","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5385","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4223","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"6027","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2181","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2180","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5386","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5387","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4251","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5388","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5972","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2715","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5384","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1785","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5815","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2989","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1792","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1791","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1790","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1789","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1788","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1787","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1827","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3004","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1828","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1784","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1783","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1781","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3039","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3040","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1839","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3057","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5921","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3064","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1786","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1910","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3013","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2750","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2758","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2776","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2786","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"614","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2822","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4481","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1806","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2839","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2701","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2862","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5325","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4506","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1885","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1874","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1873","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2968","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1838","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1829","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"2827","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4955","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3696","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3567","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3599","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"30","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4947","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5148","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"31","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"32","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"29","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4954","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3555","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5236","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3578","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4987","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5474","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3663","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3585","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3723","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3464","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3508","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"1006","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3554","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3586","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"3566","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"4979","Neotoma","Neotoma","Cricetidae","Muridae","ITIS"
"5308","Ondatra","Ondatra","Cricetidae","Muridae","ITIS"
"6204","Ondatra","Ondatra","Cricetidae","Muridae","ITIS"
"1121","Ondatra","Ondatra","Cricetidae","Muridae","ITIS"
"1099","Ondatra","Ondatra","Cricetidae","Muridae","ITIS"
"1401","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4932","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2278","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4933","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2275","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1902","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2274","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2309","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2308","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5135","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1599","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5136","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1245","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4867","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4868","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4869","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"6147","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4406","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"6148","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5324","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2293","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1880","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4745","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1119","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1807","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4629","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5182","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4594","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4796","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2244","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1556","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4834","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1909","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4543","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4508","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4819","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1871","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"2324","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"1442","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4829","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4797","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5772","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5355","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5497","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4236","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4232","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"5560","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"3506","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
"4759","Onychomys","Onychomys","Cricetidae","Muridae","ITIS"
