"catalogNumber","verbatimContinent","Continent","verbatimWaterBody","Waterbody"
"6088","NA","North America",,
"5610","NA","North America",,
"6086","NA","North America",,
"6085","NA","North America",,
"5630","NA","North America",,
"5627","NA","North America",,
"6082","NA","North America",,
"6083","NA","North America",,
"6089","NA","North America",,
"5482","NA","North America",,
"3493","NA","North America",,
"3492","NA","North America",,
"3491","NA","North America",,
"3496","NA","North America",,
"5483","NA","North America",,
"2874","NA","North America",,
"3495","NA","North America",,
"3494","NA","North America",,
"5480","NA","North America",,
"5479","NA","North America",,
"5478","NA","North America",,
"3497","NA","North America",,
"2875","NA","North America",,
"3498","NA","North America",,
"3499","NA","North America",,
"3500","NA","North America",,
"5481","NA","North America",,
"6070","NA","North America",,
"5983","NA","North America",,
"6065","NA","North America",,
"6066","NA","North America",,
"5982","NA","North America",,
"6069","NA","North America",,
"6071","NA","North America",,
"6104","NA","North America",,
"6105","NA","North America",,
"6103","NA","North America",,
"5651","NA","North America",,
"5650","NA","North America",,
"5652","NA","North America",,
"5653","NA","North America",,
"5648","NA","North America",,
"5649","NA","North America",,
"3228","NA","North America",,
"3226","NA","North America",,
"3227","NA","North America",,
"3229","NA","North America",,
"3230","NA","North America",,
"5724","NA","North America",,
"5733","NA","North America",,
"5734","NA","North America",,
"5735","NA","North America",,
"5736","NA","North America",,
"5737","NA","North America",,
"5738","NA","North America",,
"5723","NA","North America",,
"5725","NA","North America",,
"5722","NA","North America",,
"4226","NA","North America",,
"4223","NA","North America",,
"4224","NA","North America",,
"4820","NA","North America",,
"4819","NA","North America",,
"3296","NA","North America",,
"4221","NA","North America",,
"3319","NA","North America",,
"3308","NA","North America",,
"4225","NA","North America",,
"3318","NA","North America",,
"4220","NA","North America",,
"3298","NA","North America",,
"3297","NA","North America",,
"4257","NA","North America",,
"4252","NA","North America",,
"4215","NA","North America",,
"3301","NA","North America",,
"4222","NA","North America",,
"3306","NA","North America",,
"3305","NA","North America",,
"4259","NA","North America",,
"4258","NA","North America",,
"3302","NA","North America",,
"3303","NA","North America",,
"4821","NA","North America",,
"3304","NA","North America",,
"4219","NA","North America",,
"3300","NA","North America",,
"4187","NA","North America",,
"3312","NA","North America",,
"4253","NA","North America",,
"4180","NA","North America",,
"4181","NA","North America",,
"3310","NA","North America",,
"3309","NA","North America",,
"4218","NA","North America",,
"5125","NA","North America",,
"4217","NA","North America",,
"4178","NA","North America",,
"4186","NA","North America",,
"4185","NA","North America",,
"4184","NA","North America",,
"4183","NA","North America",,
"3307","NA","North America",,
"3315","NA","North America",,
"3314","NA","North America",,
"3313","NA","North America",,
"4182","NA","North America",,
"4190","NA","North America",,
"4216","NA","North America",,
"3311","NA","North America",,
"4214","NA","North America",,
"4213","NA","North America",,
"4256","NA","North America",,
"5127","NA","North America",,
"4192","NA","North America",,
"4179","NA","North America",,
"3317","NA","North America",,
"3316","NA","North America",,
"4189","NA","North America",,
"4188","NA","North America",,
"5126","NA","North America",,
"3299","NA","North America",,
"4177","NA","North America",,
"4191","NA","North America",,
"5807","NA","North America",,
"5806","NA","North America",,
"5805","NA","North America",,
"6137","NA","North America",,
